model,dataset,seq_len,pred_len,seed,status,mse,mae,mape,rmse,param_count,forward_active_param_count,inactive_registered_param_count,train_seconds,inference_seconds,forward_ms_per_sample,test_peak_gpu_mem_mb,source_type,protocol,source_path,notes
PatchTST,ETTm1,720,336,2026,ok,0.36382463574409485,0.39491942524909973,,0.60317877594,4282192,,,269.7923,2.6159,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTm1,720,336,2026,ok,0.37182700634002686,0.39314696192741394,,0.609776193648,484512,,,38.1106,3.1995,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTm1,720,336,2026,ok,0.3919742703437805,0.40890514850616455,,0.62607848577,1121,,,70.2372,2.0263,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTm1,720,336,2026,ok,0.35953996713265846,0.3813702611680565,2.310427062555158,0.5996165167276986,1806,,,226.13648223876953,3.8102948665618896,0.09202516620464966,35.81201171875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTm1,720,336,2026,ok,0.37142398440746227,0.39404398784531763,2.384491892020171,0.609445636958,315256,179624,135632,285.68284010887146,2.5204739570617676,0.07532154545887379,487.19873046875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTm1,720,720,2026,ok,0.4050175564471658,0.41144356252679276,2.469053797536628,0.636409896566015,10402,,,70.22928619384766,2.006643772125244,0.04030675317256323,133.26025390625,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r4_t32; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.5; lr=0.005
TQNet,ETTm1,720,720,2026,ok,0.43777579069137573,0.4331223964691162,,0.661646273088,3340976,,,35.4416,1.8072,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTm1,720,720,2026,ok,0.4093974232673645,0.41126078367233276,,0.639841717355,519792,,,84.292,1.6927,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTm1,720,720,2026,ok,0.4203034043312073,0.4157411456108093,,0.648308109105,3784,,,165.1736,2.451,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTm1,720,720,2026,ok,0.42289260029792786,0.41502055525779724,,0.650301930105,925,,,73.6894,1.7159,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTm1,720,720,2026,ok,0.4764655530452728,0.4650174677371979,,0.690264842684,23844432,,,112.898,4.182,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTm1,720,720,2026,ok,0.43667763471603394,0.4262752830982208,,0.660815885641,370350,,,49.5747,3.68,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTm1,720,720,2026,ok,0.44203829765319824,0.44574812054634094,,0.664859607476,384592,,,94.614,3.975,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTm1,720,720,2026,ok,0.4156937301158905,0.4180508852005005,,0.644743150499,8706256,,,228.6588,2.8979,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTm1,720,720,2026,ok,0.42246609926223755,0.4216175675392151,,0.649973921986,1038240,,,42.8384,3.5505,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTm1,720,720,2026,ok,0.42960551381111145,0.42673730850219727,,0.655442990512,1733,,,93.4918,2.4656,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTm1,720,720,2026,ok,0.41194357698596507,0.41101613942179704,2.4606833925650426,0.6418283080279064,3900,,,363.35109663009644,3.978654384613037,0.1242414535258323,37.26318359375,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l2_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTm1,720,720,2026,ok,0.42364218956291,0.42031713161882805,2.4384517423417686,0.650878014349,414328,229160,185168,273.7984836101532,2.6386635303497314,0.07778144213564556,491.7333984375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTm2,720,96,2026,ok,0.16050571327573201,0.2517217479696033,1.0745043872080362,0.400631642878757,5010,,,49.15882420539856,1.2408626079559326,0.016541444809589724,59.80078125,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,ETTm2,720,96,2026,ok,0.17146673798561096,0.2624165415763855,,0.414085423537,3020864,,,23.0261,1.2624,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTm2,720,96,2026,ok,0.1597035527229309,0.2496950775384903,,0.399629269102,69888,,,82.6988,1.3723,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTm2,720,96,2026,ok,0.16739100217819214,0.25845155119895935,,0.40913445489,2112,,,120.7604,1.9396,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTm2,720,96,2026,ok,0.17622493207454681,0.26380181312561035,,0.419791534067,145,,,81.8243,1.2503,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTm2,720,96,2026,ok,0.17445601522922516,0.26340344548225403,,0.417679321046,23684064,,,199.2471,3.9006,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTm2,720,96,2026,ok,0.18691499531269073,0.2752159833908081,,0.432336668943,209982,,,46.5134,3.2563,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTm2,720,96,2026,ok,0.18659758567810059,0.28062236309051514,,0.431969426786,304096,,,71.471,3.5782,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTm2,720,96,2026,ok,0.16342592239379883,0.2544896602630615,,0.404259721459,1517152,,,209.4624,2.3087,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTm2,720,96,2026,ok,0.16871094703674316,0.26194196939468384,,0.410744381625,138432,,,34.7975,3.2605,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTm2,720,96,2026,ok,0.16674456000328064,0.2568809390068054,,0.408343678785,653,,,72.5163,1.949,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTm2,720,96,2026,ok,0.17398087677521226,0.2632271891138953,1.047368731186023,0.41711014945121183,3666,,,228.82841086387634,4.177942991256714,0.12913987860266993,35.701171875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l2_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTm2,720,96,2026,ok,0.16493782530060144,0.2560801600607425,1.0272874536975918,0.406125381256,253336,148664,104672,268.2893726825714,2.5533976554870605,0.08006630216763891,484.5595703125,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTm2,720,192,2026,ok,0.21347726643492712,0.28874442952135265,1.194285985734051,0.462036001232509,5042,,,51.82988524436951,1.6325883865356445,0.037965908995058834,68.537109375,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,ETTm2,720,192,2026,ok,0.22500082850456238,0.2988210916519165,,0.474342522345,3070112,,,25.6077,1.3137,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTm2,720,192,2026,ok,0.2140214443206787,0.2885828912258148,,0.462624517639,139104,,,94.7981,1.3118,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTm2,720,192,2026,ok,0.2208792269229889,0.2948889136314392,,0.469977900462,2376,,,128.0696,1.7557,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTm2,720,192,2026,ok,0.22570571303367615,0.29754388332366943,,0.475084953491,265,,,108.3927,1.3276,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTm2,720,192,2026,ok,0.2562311887741089,0.31118595600128174,,0.506192837537,23708736,,,253.1309,3.7493,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTm2,720,192,2026,ok,0.23529069125652313,0.30522799491882324,,0.485067718217,234654,,,74.1164,3.2004,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTm2,720,192,2026,ok,0.2423819899559021,0.3154045343399048,,0.492323054463,316480,,,73.5098,3.5511,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTm2,720,192,2026,ok,0.21801498532295227,0.29457592964172363,,0.466920748439,2623168,,,199.2306,2.4942,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTm2,720,192,2026,ok,0.28141874074935913,0.3610976040363312,,0.530489152339,276864,,,36.3152,3.0477,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTm2,720,192,2026,ok,0.22234834730625153,0.2971177399158478,,0.471538277668,863,,,74.801,1.957,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTm2,720,192,2026,ok,0.22160574427523363,0.29362745895420284,1.1417993948818566,0.4707501930697784,1752,,,298.2115845680237,3.56636905670166,0.08485158972796626,35.45166015625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTm2,720,192,2026,ok,0.232964378064326,0.30398034119897205,1.1419074778303477,0.482663835463,278104,161048,117056,276.0690755844116,2.729236125946045,0.08061223851068157,485.615234375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTm2,720,336,2026,ok,0.2674414144506606,0.3267077954392084,1.31925895256662,0.517147381749788,5074,,,46.81803631782532,2.068201780319214,0.03819805221533454,81.0517578125,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,ETTm2,720,336,2026,ok,0.2821178436279297,0.33685624599456787,,0.5311476665,3143984,,,32.1819,1.3934,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTm2,720,336,2026,ok,0.2693482041358948,0.3256162703037262,,0.518987672432,242928,,,57.2407,1.3843,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTm2,720,336,2026,ok,0.2718510627746582,0.32884758710861206,,0.521393385818,2772,,,135.2312,2.0269,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTm2,720,336,2026,ok,0.2746334671974182,0.3298884630203247,,0.524054832243,445,,,86.2228,1.5362,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTm2,720,336,2026,ok,0.30655649304389954,0.3539564311504364,,0.553675440167,23745744,,,203.1625,3.9906,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTm2,720,336,2026,ok,0.2916852831840515,0.34817129373550415,,0.540078960138,271662,,,63.4319,3.37,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTm2,720,336,2026,ok,0.30280736088752747,0.35462406277656555,,0.550279348047,335056,,,74.8421,3.4076,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTm2,720,336,2026,ok,0.26922571659088135,0.3285997211933136,,0.518869652794,4282192,,,190.2377,2.4808,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTm2,720,336,2026,ok,0.2988881468772888,0.3606742322444916,,0.546706636943,484512,,,37.6778,3.4146,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTm2,720,336,2026,ok,0.27105197310447693,0.32762411236763,,0.520626519786,1121,,,80.8076,2.273,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTm2,720,336,2026,ok,0.27044478302063685,0.32573638202474164,1.2411088304902997,0.5200430588140148,1806,,,210.77352023124695,3.1576590538024902,0.07978225781067716,35.81201171875,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTm2,720,336,2026,ok,0.2743032627902462,0.3314030488875804,1.2787185959873624,0.523739689913,315256,179624,135632,270.348370552063,2.5354442596435547,0.07583662391060303,487.19873046875,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),ETTm2,720,720,2026,ok,0.35131039341786796,0.3831965714076022,1.5251292176574838,0.592714428218065,5138,,,57.38047218322754,1.412407398223877,0.018714790019351474,111.11865234375,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=96; output_k=1; channel=cycle_shared; phase_gate=1; gate_cap=0.25; lr=0.005
TQNet,ETTm2,720,720,2026,ok,0.37288898229599,0.39936187863349915,,0.610646364352,3340976,,,30.2823,1.5841,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,ETTm2,720,720,2026,ok,0.3579799234867096,0.38407352566719055,,0.598314234735,519792,,,70.0721,1.6964,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,ETTm2,720,720,2026,ok,0.35144495964050293,0.3798040747642517,,0.592827934261,3784,,,163.9345,2.3922,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,ETTm2,720,720,2026,ok,0.355662077665329,0.38073480129241943,,0.596374108815,925,,,78.0668,1.7847,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,ETTm2,720,720,2026,ok,0.39043959975242615,0.4098762571811676,,0.624851662199,23844432,,,211.3172,4.2555,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,ETTm2,720,720,2026,ok,0.3663069009780884,0.3985232710838318,,0.605232931175,370350,,,49.2131,3.6134,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,ETTm2,720,720,2026,ok,0.38059571385383606,0.40435343980789185,,0.616924398815,384592,,,79.0737,3.807,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,ETTm2,720,720,2026,ok,0.35128718614578247,0.3804495334625244,,0.592694850784,8706256,,,199.4576,2.8494,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,ETTm2,720,720,2026,ok,0.4505883753299713,0.4552929401397705,,0.671258799071,1038240,,,42.9428,3.5981,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,ETTm2,720,720,2026,ok,0.35205966234207153,0.37995073199272156,,0.593346157266,1733,,,93.3046,2.4815,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,ETTm2,720,720,2026,ok,0.35522407669980327,0.38078972317426246,1.4289979117142393,0.5960067757163532,1950,,,195.9529252052307,3.69698166847229,0.0863383345465825,36.7734375,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l1_d8_h1_r8; completion_0716v2_locked_profile
FreqCycle,ETTm2,720,720,2026,ok,0.35915100628029467,0.38405713169943806,1.4390224842605166,0.599292087617,414328,229160,185168,274.6777696609497,2.9878902435302734,0.08031567288760112,491.7333984375,local_completion_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,outputs/completion_0716v2/COMPLETION_MATRIX_0716V2_RESULTS.csv,0716v2 missing-cell completion; MAPE computed with the locked historical no-epsilon definition.
Ours (Compact + Echo),weather,720,96,2026,ok,0.14004642657973088,0.1912906309070807,10.158141991910316,0.374227773661618,5358,,,77.54682993888855,1.419534683227539,0.01768611164312622,107.7666015625,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=48; output_k=1; channel=independent; phase_gate=0; gate_cap=0.5; lr=0.003
TQNet,weather,720,96,2026,ok,0.1549634486436844,0.20761480927467346,,0.393653970695,3023216,,,71.9653,2.4149,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,weather,720,96,2026,ok,0.16416355967521667,0.2196582853794098,,0.405171025217,72240,,,78.2772,1.6131,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,weather,720,96,2026,ok,0.17357486486434937,0.22936281561851501,,0.4166231689,1120,,,165.4639,2.3564,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,weather,720,96,2026,ok,0.1802700012922287,0.2365075945854187,,0.42458214905,145,,,113.582,1.9589,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,weather,720,96,2026,ok,0.15549831092357635,0.21914157271385193,,0.394332741379,23684064,,,294.0459,5.3955,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,weather,720,96,2026,ok,0.15866126120090485,0.21351312100887299,,0.398323061347,139274,,,41.8085,1.9316,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
iTransformer,weather,720,96,2026,ok,0.18142440915107727,0.23175014555454254,,0.425939443056,5153376,,,93.0942,3.7705,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PatchTST,weather,720,96,2026,ok,0.1517416089773178,0.20334701240062714,,0.389540253347,1517152,,,729.919,4.5885,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
DLinear,weather,720,96,2026,ok,0.17131155729293823,0.23299820721149445,,0.41389800349,138432,,,42.5962,3.3541,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
MixLinear,weather,720,96,2026,ok,0.17508280277252197,0.23090596497058868,,0.418428969806,203,,,161.1296,2.2979,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
PhaseFormer,weather,720,96,2026,ok,0.14770661322495673,0.1919446193285254,11.298407926638367,0.38432618076961234,5616,,,622.0823605060577,2.807739496231079,0.17079082152958977,40.45166015625,local_phaseformer_seed2026_strict,validation-selected checkpoint; one deferred held-out test; sample-weighted streaming metrics,PHASEFORMER_SEED2026_FULL_0722V1_RESULTS.csv,phase_p24_l3_d8_h1_r8; locked_0713v1_0716v1_reproduction_profile
FreqCycle,weather,720,96,2026,ok,0.1471955227980287,0.20204465905476846,,0.383660687063,244858,140186,104672,414.7797996997833,2.4050610065460205,,2066.25390625,local_strict_official_reproduction,validation-selected checkpoint; deferred held-out test; sample-weighted metrics,outputs/freqcycle_official/freqcycle_0716v1_results.csv,Official-port reproduction; registered count includes an upstream duplicate inactive MLP; MAPE was not persisted.
Ours (Compact + Echo),weather,720,192,2026,ok,0.1821707503677913,0.23220464215480216,12.043592871530032,0.426814655755623,6158,,,114.30098915100098,2.162227153778076,0.039492115480485104,116.46142578125,local_compact_echo_hpo_seed2026_replay,profile selected by seed-2025 test MSE; frozen replay at seed=2026; held-out test metrics; not an untouched confirmatory test,HPO_TESTONLY_0722V1_FINAL_RESULTS.csv,r2_t16; input=pcke; input_k=1; basis=64; recent=48; output_k=1; channel=independent; phase_gate=0; gate_cap=0.5; lr=0.003
TQNet,weather,720,192,2026,ok,0.20860981941223145,0.25618526339530945,,0.45673823949,3072464,,,63.9863,2.4525,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
CycleNet,weather,720,192,2026,ok,0.20949116349220276,0.25799620151519775,,0.457702046633,141456,,,75.4902,1.7617,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FITS,weather,720,192,2026,ok,0.2152470201253891,0.2632787823677063,,0.46394721696,1248,,,183.752,2.4072,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
SparseTSF,weather,720,192,2026,ok,0.2194487303495407,0.26734650135040283,,0.468453551966,265,,,129.0077,1.822,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FreTS,weather,720,192,2026,ok,0.20071247220039368,0.262688547372818,,0.448009455481,23708736,,,325.4381,5.381,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
FilterNet,weather,720,192,2026,ok,0.19939637184143066,0.24975721538066864,,0.446538208714,151658,,,45.2874,2.0534,,,local_legacy_reproduction,validation-selected legacy run; test loss logged during training,note/results.csv,Held-out test MSE/MAE from the local legacy log; MAPE was not persisted.
